"start";"end";"today";"username";"site_id";"location";"_location_latitude";"_location_longitude";"_location_altitude";"_location_precision";"photo_1";"photo_2";"photo_3";"photo_4";"photo_5";"photo_6";"photo_6_002";"photo_6_001";"anvil_type";"anvil_type/stone";"anvil_type/wood";"hammer_material";"hammer_material/stone";"hammer_material/wood";"fragmentation";"weight_g";"length_mm_max";"length_mm_25";"length_mm_50";"length_mm_75";"width_mm_max";"width_mm_25";"width_mm_50";"width_mm_75";"THICKNESS";"debris_at_site";"debris_at_site/almendra";"debris_at_site/hermit_crabs";"debris_at_site/halloween_crabs";"debris_at_site/coconuts";"debris_at_site/marine_snail";"debris_at_site/river_snail";"debris_at_site/bactris_fruit";"debris_at_site/other_processed_item";"debris_at_site/astrocaryum";"site_type_size";"site_type_persistence";"Anvil_surface_inclination_degrees";"Substrate_surface_inclination_degrees";"Horizontal_distance_to_nearest_water_cm";"Vertical_distance_to_nearest_water_cm";"Horizontal_distance_to_nearest";"Is_nearest_tree_almendra";"Is_nearest_tree_almendra/yes";"Is_nearest_tree_almendra/no";"site_location";"site_location/beach";"site_location/stream_bank";"site_location/in_tree";"site_location/other";"site_location/forest";"site_location/option_6";"comments";"camera_at_site";"name_of_camera_trap";"ID";"What_is_the_name_of_this_site";"LOCATION";"_LOCATION_latitude";"_LOCATION_longitude";"_LOCATION_altitude";"_LOCATION_precision";"Record_your_current_location";"_Record_your_current_location_latitude";"_Record_your_current_location_longitude";"_Record_your_current_location_altitude";"_Record_your_current_location_precision";"Photo_1";"Photo_2";"Photo_3";"What_type_of_anvil";"What_type_of_anvil/stone";"What_type_of_anvil/wood";"Photo_4";"What_is_hammer_material";"What_is_hammer_material/stone";"What_is_hammer_material/wooden";"Photo_5";"Fragmentation_Pattern";"Photo_6";"ANVIL";"ANVIL/stone";"ANVIL/wood";"HAMMER";"HAMMER/stone";"HAMMER/wooden";"LENGTH_001";"FRAGMENTATION";"LENGTH_001_001";"WEIGHT";"Type_of_Debris_at_Site";"Type_of_Debris_at_Site/almendras";"Type_of_Debris_at_Site/shells";"Type_of_Debris_at_Site/halloween_crab";"Type_of_Debris_at_Site/coconut";"Type_of_Debris_at_Site/marine_snail";"Type_of_Debris_at_Site/freshwater_sna";"Type_of_Debris_at_Site/other__see_com";"LENGTH";"Site_Type";"WIDTH";"Enter_a_date_and_time";"DEBRIS_AT_SITE";"DEBRIS_AT_SITE/ALMENDRAS";"DEBRIS_AT_SITE/SHELLS";"DEBRIS_AT_SITE/HCRABS";"DEBRIS_AT_SITE/COCO";"DEBRIS_AT_SITE/MARlNE_SNAIL";"DEBRIS_AT_SITE/FRESHWATER_SNA_1";"DEBRIS_AT_SITE/NUT";"DEBRIS_AT_SITE/OTHER_PROC_ITE_1";"DEBRIS_AT_SITE/RIVER_SNAIL";"DEBRIS_AT_SITE/OTHER_PROC_ITE";"SITE_TYPE";"SITE_LOCATION";"SITE_LOCATION/beach";"SITE_LOCATION/stream_bank";"SITE_LOCATION/in_tree";"SITE_LOCATION/in_stream";"SITE_LOCATION/other";"Comments";"COMMENTS";"CAMERA_AT_SITE";"Name_of_Camera_Trap";"hardness_1_hld";"hammerstone_shape";"hammerstone_shape/spheroid";"hammerstone_shape/ovate";"hammerstone_shape/retangular";"hammerstone_shape/irregular";"hammerstone_shape/undetermined";"hardness_2_hld";"hardness_3_hld";"site_type";"hardness_4_hld";"What_is_site_type";"hardness_5_hld";"hardness_6_hld";"hardness_7_hld";"hardness_8_hld";"hardness_9_hld";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2021-07-19T10:21:00.415-05:00";"2021-07-19T10:25:32.734-05:00";"2021-07-19";"Brendan Barrett";"T03
";"7.267644176077738 -81.82093013153462 88.3740234375 0.0";"7.267644176077738";"-81.82093013153462";"88.3740234375";"0.0";"1626708090322.jpg";"1626708097144.jpg";"1626708107227.jpg";"1626708124294.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"1021.0";"150";"";"";"";"100";"";"";"";"41";"almendra";"1";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"stream_bank";"0";"1";"0";"0";"0";"0";"";"no";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"irregular";"0";"0";"0";"1";"0";"";"";"";"";"1";"";"";"";"";"";"106637967";"ee398174-459b-478e-b2a7-6b2b3e61b53a";"2021-07-25T11:36:39";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"1"
"2021-07-19T10:45:42.971-05:00";"2021-07-19T10:56:58.747-05:00";"2021-07-19";"Brendan Barrett";"T04
";"7.268880872100453 -81.81953441443511 17.031982421875 0.0";"7.268880872100453";"-81.81953441443511";"17.031982421875";"0.0";"1626709585893.jpg";"1626709595903.jpg";"1626709616312.jpg";"1626709641570.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"926.0";"110";"";"";"";"97";"";"";"";"78";"almendra";"1";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"stream_bank";"0";"1";"0";"0";"0";"0";"";"yes";"CEBUS-07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"spheroid";"1";"0";"0";"0";"0";"";"";"";"";"2";"";"";"";"";"";"106638306";"5f5ae85b-8455-47c1-9bc9-91a1de53f1db";"2021-07-25T11:38:45";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"2"
"2021-07-19T11:19:50.873-05:00";"2021-07-19T11:31:54.236-05:00";"2021-07-19";"Brendan Barrett";"T05";"7.2689369445370176 -81.81976192962429 25.1875 0.0";"7.2689369445370176";"-81.81976192962429";"25.1875";"0.0";"1626711661433.jpg";"1626711684699.jpg";"1626711699466.jpg";"1626711710714.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"220.0";"75";"";"";"";"70";"";"";"";"42";"hermit_crabs";"0";"1";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"other";"0";"0";"0";"1";"0";"0";"On army bench near waterfall CEBUS-07";"no";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"irregular";"0";"0";"0";"1";"0";"";"";"";"";"2";"";"";"";"";"";"106638646";"acbe2127-67ce-4fb0-891a-47688e8ef4b1";"2021-07-25T11:40:39";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"3"
"2021-07-19T16:04:13.005-05:00";"2021-07-19T16:13:24.361-05:00";"2021-07-19";"Brendan Barrett";"T06
";"";"";"";"";"";"1626728675002.jpg";"1626728691274.jpg";"1626728702429.jpg";"1626728714317.jpg";"1626728748411.jpg";"";"";"";"wood";"0";"1";"stone";"1";"0";"whole";"270.0";"96";"";"";"";"74";"";"";"";"53";"hermit_crabs";"0";"1";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"forest";"0";"0";"0";"0";"1";"0";"";"no";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"irregular";"0";"0";"0";"1";"0";"";"";"";"";"2";"";"";"";"";"";"106638778";"e41b8e05-26b8-4206-8de6-6cba22078cbc";"2021-07-25T11:41:49";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"4"
"2021-07-20T11:15:10.642-05:00";"2021-07-20T11:19:28.248-05:00";"2021-07-20";"Brendan Barrett";"T01";"7.2682072 -81.8194375 42.263163621786084 4.83";"7.2682072";"-81.8194375";"42.263163621786084";"4.83";"1626797806173.jpg";"1626797816533.jpg";"1626797825077.jpg";"1626797838311.jpg";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"1435.0";"133";"";"";"";"110";"";"";"";"66";"almendra";"1";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"stream_bank";"0";"1";"0";"0";"0";"0";"";"yes";"Cebus-08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"retangular";"0";"0";"1";"0";"0";"";"";"";"";"2";"";"";"";"";"";"106638853";"458b7840-b870-4ed0-b567-780dcc2cc4a3";"2021-07-25T11:42:15";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"5"
"2021-07-20T14:19:28.125-05:00";"2021-07-20T14:38:22.807-05:00";"2021-07-20";"Brendan Barrett";"T02";"7.2708686 -81.821005 31.571638203130956 4.675";"7.2708686";"-81.821005";"31.571638203130956";"4.675";"1626808798181.jpg";"1626808815952.jpg";"1626808822803.jpg";"1626808829185.jpg";"";"";"";"";"wood";"0";"1";"stone";"1";"0";"whole";"764.0";"132";"";"";"";"123";"";"";"";"35";"almendra halloween_crabs coconuts";"1";"0";"1";"1";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"stream_bank";"0";"1";"0";"0";"0";"0";"";"yes";"Cebus-04-R10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"retangular";"0";"0";"1";"0";"0";"";"";"";"";"3";"";"";"";"";"";"106638891";"71cc8798-bf3c-40f2-ad4f-f4f23a86dd01";"2021-07-25T11:42:36";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"6"
"2021-07-20T14:39:25.942-05:00";"2021-07-20T14:44:53.861-05:00";"2021-07-20";"Brendan Barrett";"T03";"7.2709008 -81.8212157 35.518925698656 7.5";"7.2709008";"-81.8212157";"35.518925698656";"7.5";"1626810005491.jpg";"1626810012382.jpg";"1626810031299.jpg";"";"";"";"";"";"wood";"0";"1";"stone";"1";"0";"whole";"1300.0";"146";"";"";"";"113";"";"";"";"51";"almendra hermit_crabs coconuts";"1";"1";"0";"1";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"beach";"1";"0";"0";"0";"0";"0";"Camera trap would be visible ";"no";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ovate";"0";"1";"0";"0";"0";"";"";"";"";"3";"";"";"";"";"";"106638925";"bfc01b9b-c3e0-4242-8d3d-0406d36499b2";"2021-07-25T11:42:56";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"7"
"2021-07-20T15:28:15.966-05:00";"2021-07-20T15:37:06.407-05:00";"2021-07-20";"Brendan Barrett";"T04";"7.2707914 -81.8209949 34.96325659933049 4.972";"7.2707914";"-81.8209949";"34.96325659933049";"4.972";"1626812951489.jpg";"1626812959526.jpg";"1626812967395.jpg";"";"";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"407.0";"112";"";"";"";"74";"";"";"";"54";"almendra";"1";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"forest";"0";"0";"0";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"irregular";"0";"0";"0";"1";"0";"";"";"";"";"3";"";"";"";"";"";"106638975";"da93fabc-5ab8-4fd2-ac85-0a19c4b13803";"2021-07-25T11:43:12";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"8"
"2021-07-23T10:17:48.267-05:00";"2021-07-23T10:26:58.882-05:00";"2021-07-23";"Brendan Barrett";"T01";"";"";"";"";"";"1627053524905.jpg";"1627053534105.jpg";"1627053546430.jpg";"1627053558724.jpg";"1627053576894.jpg";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"0.0";"0";"";"";"";"0";"";"";"";"0";"other_processed_item";"0";"0";"0";"0";"0";"0";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"stream_bank";"0";"1";"0";"0";"0";"0";"Stream south of Rio Escondido at camera site. Use gps from tracker. Unsure if tool. Unknown fruit under rock.";"no";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ovate";"0";"1";"0";"0";"0";"";"";"";"";"2";"";"";"";"";"";"106639053";"73ae01f1-3c5e-4d16-b33e-8c8e066ba951";"2021-07-25T11:43:27";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"9"
"2021-07-19T10:02:43.719-05:00";"2021-07-19T10:15:05.738-05:00";"2021-07-19";"Brendan Barrett";"T02";"7.2682737892910145 -81.81947135760674 54.3388671875 0.0";"7.2682737892910145";"-81.81947135760674";"54.3388671875";"0.0";"1626707008620.jpg";"1626707019039.jpg";"1626707047829.jpg";"1626707062007.jpg";"1626707074183.jpg";"";"";"";"stone";"1";"0";"stone";"1";"0";"whole";"1061.0";"161";"";"";"";"74";"";"";"";"66";"almendra hermit_crabs";"1";"1";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"stream_bank";"0";"1";"0";"0";"0";"0";"Hermit crabs debris";"yes";"CEBUS-09 or CEBUS-10 (discovery stream)
";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ovate";"0";"1";"0";"0";"0";"";"";"";"";"3";"";"";"";"";"";"106637756";"7aadd52f-29fc-4e23-885e-0c308393e062";"2021-07-25T11:34:17";"";"";"submitted_via_web";"bjb5009";"vjuEJyy69SyMQXjDtoj5Jv";"";"10"
